Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),AccAll,Force
73,-0.14,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
74,-0.14,-0.42,-12.27,0.0,0.001,0.0,0.001,0.00407115
75,-0.14,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
76,-0.14,-0.42,-12.27,0.001,0.0,0.001,0.001414213562373095,0.0057574755444552254
77,-0.14,-0.42,-12.27,-0.001,0.001,0.0,0.001414213562373095,0.0057574755444552254
78,-0.14,-0.42,-12.27,0.0,0.001,0.0,0.001,0.00407115
79,-0.14,-0.42,-12.27,0.0,0.001,0.002,0.0022360679774997894,0.009103368146598269
80,-0.13,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
81,-0.13,-0.42,-12.27,-0.001,0.0,0.0,0.001,0.00407115
82,-0.13,-0.42,-12.27,0.0,0.0,0.001,0.001,0.00407115
83,-0.13,-0.42,-12.27,0.001,0.001,0.002,0.0024494897427831783,0.009972240166331737
84,-0.13,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
85,-0.13,-0.42,-12.27,0.0,-0.001,0.0,0.001,0.00407115
86,-0.13,-0.41,-12.27,0.001,0.0,0.0,0.001,0.00407115
87,-0.13,-0.41,-12.27,0.0,0.0,0.003,0.003,0.01221345
88,-0.13,-0.42,-12.27,0.0,0.0,0.002,0.002,0.0081423
89,-0.14,-0.42,-12.27,0.0,0.0,0.001,0.001,0.00407115
90,-0.14,-0.42,-12.27,0.0,0.0,0.002,0.002,0.0081423
91,-0.14,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
92,-0.14,-0.42,-12.27,-0.001,0.0,0.0,0.001,0.00407115
93,-0.14,-0.42,-12.27,-0.002,0.0,0.0,0.002,0.0081423
94,-0.14,-0.42,-12.27,0.0,0.001,0.001,0.001414213562373095,0.0057574755444552254
95,-0.14,-0.42,-12.27,0.0,0.001,0.003,0.0031622776601683794,0.012874106696194498
96,-0.14,-0.42,-12.27,0.0,0.0,0.001,0.001,0.00407115
97,-0.14,-0.42,-12.27,0.0,0.0,0.001,0.001,0.00407115
98,-0.13,-0.42,-12.27,0.0,0.001,0.0,0.001,0.00407115
99,-0.13,-0.42,-12.27,0.005,-0.002,0.001,0.005477225575051661,0.022298606899871568
100,-0.13,-0.41,-12.27,0.033,-0.043,-0.025,0.05969087032369355,0.243010486718305
101,-0.12,-0.42,-12.27,-0.005,0.034,0.018,0.03879432948254165,0.15793753447284942
102,-0.13,-0.41,-12.27,0.014,-0.02,-0.02,0.031559467676119,0.12848332682963187
103,-0.13,-0.41,-12.27,0.017,-0.004,-0.017,0.024372115213907884,0.09922253685310109
104,-0.14,-0.42,-12.27,-0.011,-0.004,0.01,0.015394804318340652,0.06267455760061255
105,-0.14,-0.41,-12.27,0.003,0.013,-0.012,0.01794435844492636,0.07305417488306196
106,-0.14,-0.41,-12.27,0.005,-0.006,0.001,0.007874007874011811,0.03205626715628319
107,-0.14,-0.41,-12.27,0.0,0.0,0.0,0.0,0.0
108,-0.15,-0.41,-12.27,-0.001,0.0,0.0,0.001,0.00407115
109,-0.14,-0.41,-12.27,0.0,0.0,0.0,0.0,0.0
110,-0.14,-0.41,-12.27,0.0,0.001,-0.001,0.001414213562373095,0.0057574755444552254
111,-0.14,-0.41,-12.27,0.0,0.0,0.001,0.001,0.00407115
112,-0.14,-0.41,-12.27,0.0,-0.001,0.001,0.001414213562373095,0.0057574755444552254
113,-0.14,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
114,-0.14,-0.42,-12.27,-0.001,0.0,0.001,0.001414213562373095,0.0057574755444552254
115,-0.13,-0.36,-12.29,0.081,0.012,0.002,0.08190848551890091,0.3334617308202734
116,-0.09,-0.17,-12.50,0.023,-0.012,0.005,0.02641968962724581,0.10755851942596177
117,-0.10,-0.16,-12.57,0.032,-0.033,-0.01,0.047042533945356305,0.1915172120716373
118,-0.11,-0.33,-12.60,-0.095,-0.007,0.003,0.09530477427705289,0.38800003179802384
119,-0.15,-0.34,-12.78,0.079,-0.011,0.006,0.07998749902328488,0.32564110664864626
120,-0.17,-0.27,-13.04,-0.006,-0.007,0.0,0.009219544457292887,0.03753414841730794
121,-0.18,-0.29,-13.40,0.012,0.011,0.01,0.0191049731745428,0.07777921153953993
122,-0.14,-0.33,-13.86,0.016,0.036,0.028,0.04833218389437829,0.19676757046159818
123,-0.14,-0.50,-14.36,-0.017,0.061,0.098,0.11667904696216884,0.47501790204003363
124,-0.72,-0.91,-14.73,-0.049,-0.012,0.086,0.09970456358662826,0.40591223404570165
125,-1.76,-1.35,-14.99,-0.036,-0.027,0.118,0.12628935030318272,0.5141428884868023
126,-2.03,-1.76,-15.09,0.036,0.006,0.084,0.09158602513484249,0.37286044622771397
127,-2.18,-2.16,-15.07,0.084,-0.017,0.028,0.09016096716428901,0.3670588214708952
128,-2.45,-2.47,-15.07,0.055,0.032,0.038,0.07411477585475112,0.30173236972107004
129,-2.51,-2.65,-15.13,0.009,0.074,0.106,0.1295878080685062,0.527571404818099
130,-2.40,-2.81,-15.18,-0.03,0.054,0.141,0.15393829932800998,0.6267059073092278
131,-2.17,-2.97,-15.34,-0.037,0.017,0.135,0.1410070920202243,0.5740610226781362
132,-1.91,-3.05,-15.54,-0.013,0.008,0.119,0.11997499739529065,0.48843621064583753
133,-1.69,-3.03,-15.69,0.022,0.013,0.119,0.12171277665060475,0.4955109706611095
134,-1.52,-3.14,-15.73,0.028,0.009,0.117,0.12063996021219503,0.4911433740178778
135,-1.32,-3.36,-15.80,0.02,0.036,0.11,0.11745637488020819,0.47818252059355953
136,-1.07,-3.56,-15.81,0.022,0.049,0.103,0.11616367762773352,0.4729197561741474
137,-0.77,-3.73,-15.78,0.013,0.048,0.098,0.10989540481748998,0.4474006773227243
138,-0.46,-3.92,-15.77,0.012,0.034,0.097,0.10348429832588131,0.42130010112941163
139,-0.17,-4.06,-15.73,0.018,0.032,0.088,0.09535197952848173,0.3881922114573784
140,0.07,-4.14,-15.64,0.031,0.036,0.087,0.0991261822123701,0.40355755671389054
141,0.33,-4.17,-15.50,0.058,0.061,0.093,0.1254352422567119,0.5106656865134127
142,0.65,-4.21,-15.37,0.066,0.062,0.087,0.12557467897629682,0.5112333543143507
143,1.07,-4.37,-15.27,0.049,0.081,0.089,0.12993459893346346,0.5289832424479698
144,1.59,-4.63,-15.18,0.012,0.092,0.111,0.14466858677681205,0.5889675170564184
145,2.16,-5.02,-15.03,-0.008,0.056,0.106,0.1201499063670047,0.4891482913060312
146,2.68,-5.47,-14.85,-0.007,0.005,0.071,0.07151922818375489,0.2911655058202937
147,3.10,-5.90,-14.69,0.01,0.004,0.053,0.054083269131959835,0.2201811011265783
148,3.55,-6.31,-14.54,0.014,0.021,0.047,0.05334791467339656,0.2171873628225984
149,3.99,-6.71,-14.34,0.035,0.019,0.035,0.05301886456724625,0.21584775048294458
150,4.44,-7.08,-14.15,0.053,0.021,0.016,0.05921148537234985,0.24105883867364208
151,4.85,-7.43,-13.87,0.076,0.03,0.011,0.08244392033376384,0.33564156626680264
152,5.22,-7.71,-13.51,0.077,0.037,0.017,0.08710338684574785,0.3546109533570664
153,5.54,-8.03,-13.07,0.057,0.038,0.036,0.07738862965578341,0.3150607196231427
154,5.83,-8.43,-12.53,0.03,0.034,0.053,0.06974955196988723,0.2839608885022064
155,6.13,-8.92,-11.96,0.015,0.037,0.074,0.08408329203831162,0.34231569438177234
156,6.49,-9.53,-11.41,-0.006,0.012,0.059,0.06050619802962338,0.24632980810830118
157,6.84,-10.13,-10.83,0.018,-0.012,0.025,0.03306055050963308,0.1345944602072927
158,7.13,-10.68,-10.20,0.033,-0.033,0.001,0.04667976006793523,0.19004030520057452
159,7.33,-11.20,-9.54,0.039,-0.033,-0.012,0.052478567053607705,0.21364811826029498
160,7.47,-11.73,-8.83,0.034,-0.01,-0.024,0.0428018691180654,0.17425282946001194
161,7.57,-12.25,-8.01,0.062,0.027,-0.031,0.07439085965358916,0.3028563482787095
162,7.61,-12.87,-7.13,0.093,0.096,-0.001,0.13366375724181928,0.5441652052950325
163,7.61,-13.66,-6.17,0.126,0.136,0.026,0.187211110781385,0.7621645136576356
164,7.72,-14.51,-5.18,0.144,0.142,0.04,0.206155281280883,0.8392890733866669
165,7.97,-15.38,-4.22,0.139,0.104,0.022,0.17498857105536922,0.7124047210520663
166,8.26,-16.25,-3.22,0.118,0.05,-0.004,0.12821856339859686,0.5219970043801976
167,8.53,-17.00,-2.18,0.106,0.017,-0.024,0.11000454536063498,0.44784500484494905
168,8.76,-17.61,-1.06,0.121,0.012,-0.042,0.1286429166336025,0.5237246100528908
169,8.96,-18.39,0.00,0.104,0.019,-0.07,0.1267951103158162,0.5162019133622351
170,9.21,-18.96,1.07,0.083,-0.017,-0.076,0.11381564040148437,0.4633605444205031
171,9.35,-19.55,2.19,0.075,-0.028,-0.088,0.1189663818059539,0.48432998528930926
172,9.42,-20.08,3.38,0.082,-0.043,-0.09,0.1291239714383042,0.5256830563210522
173,9.37,-20.58,4.69,0.063,-0.068,-0.103,0.1385712812959453,0.5641444718479877
174,9.17,-21.09,6.06,0.045,-0.103,-0.113,0.15938318606427718,0.648872857945582
175,8.80,-21.57,7.51,0.044,-0.088,-0.111,0.14832734070291964,0.6038628531026913
176,8.45,-22.05,9.00,0.026,-0.041,-0.075,0.0893420393767682,0.3637248436087298
177,8.18,-22.60,10.52,-0.009,-0.047,-0.045,0.06568865959965997,0.2674283865291557
178,7.92,-23.22,12.05,-0.015,-0.09,-0.049,0.10356640381899913,0.4216343649077183
179,7.85,-23.83,13.50,0.006,-0.137,-0.074,0.15582361823549087,0.6343813233794187
180,7.68,-24.51,14.96,0.02,-0.147,-0.093,0.17509426032854417,0.7128349979365526
181,7.40,-25.18,16.41,0.062,-0.127,-0.103,0.17487709970147605,0.7119509044496642
182,7.05,-25.76,17.84,0.122,-0.091,-0.108,0.18662529303392936,0.7597795617350815
183,6.74,-26.20,19.22,0.144,-0.081,-0.107,0.1968400365779279,0.8013653149142312
184,6.45,-26.50,20.58,0.107,-0.1,-0.072,0.16319620093617376,0.6643962134413038
185,6.16,-26.72,21.96,0.053,-0.119,-0.042,0.13687220316777254,0.5572272699264772
186,5.90,-26.88,23.29,0.017,-0.118,-0.017,0.12042425004956435,0.49026518558928395
187,5.61,-27.13,24.66,-0.046,-0.134,0.016,0.14257629536497293,0.5804494848751095
188,5.29,-27.49,26.10,-0.047,-0.142,0.019,0.15077798247754876,0.6138397833634727
189,4.97,-27.93,27.54,0.009,-0.145,-0.02,0.14664924138910504,0.597031059081255
190,4.71,-28.34,28.93,0.053,-0.171,-0.045,0.18459414941974733,0.7515104714102043
191,4.48,-28.64,30.23,0.061,-0.173,-0.058,0.1923902284420911,0.7832494785220192
192,4.29,-28.85,31.46,0.057,-0.16,-0.027,0.1719825572550891,0.700166787969056
193,4.11,-29.03,33.76,-0.009,-0.218,0.02,0.21910043359153808,0.8919907302161904
194,4.06,-29.18,34.88,-0.032,-0.244,0.027,0.24756615277537436,1.0078789428714654
195,3.92,-29.41,36.04,-0.028,-0.213,0.07,0.22594910931446488,0.9198727163855837
196,3.76,-29.68,37.29,-0.019,-0.189,0.078,0.20534361446122448,0.835984656013814
197,3.77,-29.76,38.45,0.015,-0.222,0.041,0.22625207181371845,0.9211061221644199
198,3.90,-29.72,39.50,0.01,-0.251,-0.011,0.2514398536429736,1.0236493601585919
199,4.06,-29.63,40.44,0.011,-0.283,-0.052,0.2879479119563119,1.1722791417609393
200,4.25,-29.59,41.17,0.005,-0.26,-0.062,0.2673368661445705,1.0883684826044682
201,4.39,-29.49,41.77,0.039,-0.207,-0.037,0.21386678096422548,0.8706837453225066
202,4.45,-29.36,42.46,0.01,-0.216,0.011,0.21651096969899702,0.8814486342900717
203,4.40,-29.27,43.30,-0.016,-0.24,0.031,0.24252216393558754,0.9873441077063672
204,4.33,-29.26,44.12,-0.048,-0.228,0.039,0.2362392854713204,0.9617655670465659
205,4.41,-29.38,45.50,-0.057,-0.315,-0.024,0.32101401838549043,1.3068962209500894
206,4.56,-29.40,45.97,-0.035,-0.337,-0.063,0.34462008066855304,1.4030000414137798
207,4.71,-29.40,46.28,-0.029,-0.357,-0.085,0.36812362054070913,1.4986864777643079
208,4.81,-29.34,46.52,-0.034,-0.327,-0.089,0.34059653550792324,1.3866195855330818
209,4.88,-29.20,46.69,-0.048,-0.292,-0.07,0.304085514288333,1.237977741494947
210,4.95,-28.99,46.81,-0.075,-0.261,-0.038,0.27420795028590983,1.1163416968064817
211,5.10,-28.73,46.83,-0.086,-0.265,-0.035,0.28079529910595014,1.1431597819551889
212,5.32,-28.49,46.76,-0.106,-0.285,-0.07,0.3120272424004032,1.2703097078984014
213,5.53,-28.30,46.55,-0.159,-0.334,-0.092,0.3811836827567518,1.55185595005515
214,5.58,-28.25,46.26,-0.176,-0.333,-0.097,0.3889395839973093,1.5834313873906458
215,5.36,-28.39,45.99,-0.157,-0.284,-0.079,0.3339850296046216,1.3597031532748554
216,5.07,-28.61,45.66,-0.108,-0.223,-0.054,0.25359219230883273,1.0324118537181044
217,4.88,-28.77,45.16,-0.034,-0.139,-0.017,0.14410412901787376,0.5866695248511168
218,4.65,-28.85,44.73,0.006,-0.085,0.002,0.08523496934944014,0.34700434546697323
219,4.50,-28.79,44.37,0.008,-0.106,0.007,0.10653168542738822,0.43370647112771155
220,4.74,-28.63,43.84,-0.004,-0.156,0.002,0.15606408939919522,0.6353603175575336
221,4.96,-28.50,43.29,-0.04,-0.212,-0.003,0.21576144233852348,0.8783971959764799
222,5.11,-28.45,42.68,-0.047,-0.228,-0.016,0.2333430950339007,0.9499747413472649
223,5.18,-28.43,41.98,-0.003,-0.169,-0.018,0.16998235202514408,0.6920236524471653
224,5.27,-28.33,41.15,0.033,-0.112,0.003,0.11679897259822108,0.4755061372932478
225,5.42,-28.11,40.29,0.038,-0.092,0.044,0.10883014288330232,0.4430638361993563
226,5.58,-27.87,39.45,0.019,-0.08,0.082,0.11612493272333896,0.4727620198566214
227,5.74,-27.72,38.70,-0.009,-0.133,0.07,0.15056560032092325,0.6129751437465267
